Reg. #/ File Sym,Physcial Form.,Product Name (PBN),Use,Use Site,"App.
Target","App.
Type","App.
Equipment","App.
Timing (Site Status)","App.
Timing (other)","A.I.
Max Single Rate
/ App. (lb a.i./A)","Max # Apps
/ C.C.","A. I.
Max Total Rate
/ C.C. (lb a.i./A","Max # Apps
/ Yr.","A. I.
Max Total Rate
/ Yr. (lb a.i./A)","MRI
(days)",PHI (days),Additional Information,Max No. of CC/yr,Geographic Restrictions,Drift Restrictions,Soil Restrictions,On-field Non-target Species Restrictions,Additional Restrictions for Use/Use Site
264-REUN,SL,SIVANTO 300 SL,Coffee,Agricultural (Outdoor),Foliar,Broadcast,"ground sprayers, fixed or rotary winged aircraft, or through properly designed, sprinkler-type overhead chemigation equipment",Post-emergence,When pests occur,0.183,NS,0.365,NS,0.365,7,0,Minimum Application Volume: 10 Gallons/Acre - Ground; 3 Gallons/Acre - Aerial,1,"NY restriction flupyradifurone: No aerial application in New York State. Not for sale, distribution or use in Nassau and Suffolk Counties (except under FIFRA 24(c)/SLN)","Max Release Height (ft): 10

ASABE Droplet Size: Coarse",,"Pollinators: recommended that foliar insecticides are applied late in the afternoon, evening, or at night outside of daily peak foraging periods.Do not apply to crop foliage during foraging by alfalfa leafcutting bees used for pollination services.",DO NOT tank mix with azole fungicides (FRAC group 3) during bloom period; No aerial application in New York State.
264-REUN,SL,SIVANTO 300 SL,Cottonseed (Subgroup 20c) Including production for Seed,Agricultural (Outdoor),Foliar,Broadcast,"ground sprayers, fixed or rotary winged aircraft, or through properly designed, sprinkler-type overhead chemigation equipment",Post-emergence,When pests occur,0.183,NS,0.365,NS,0.365,10,14,Minimum Application Volume: 10 Gallons/Acre - Ground; 3 Gallons/Acre - Aerial,1,"NY restriction flupyradifurone: No aerial application in New York State. Not for sale, distribution or use in Nassau and Suffolk Counties (except under FIFRA 24(c)/SLN)","Max Release Height (ft): 10

ASABE Droplet Size: Coarse",,"Pollinators: recommended that foliar insecticides are applied late in the afternoon, evening, or at night outside of daily peak foraging periods.Do not apply to crop foliage during foraging by alfalfa leafcutting bees used for pollination services.",
264-REUN,SL,SIVANTO 300 SL,Cucurbit Vegetables (CG 9) Planthouse,Planthouse/ Nursery (Inside),Foliar,Broadcast,"ground sprayers, through properly designed, sprinkler-type overhead chemigation equipment, overhead irrigation system,",Post-emergence,When pests occur,"0.23 fl oz/ 10,000 plants (0.011 lb ai)",1,"0.23 fl oz/ 10,000 plants in planthouse (0.011 lb ai); 0.365 lb ai/A for total planthouse + foliar",NS,0.365,NS,21,"Apply specified dosage to seedlings in trays in the planthouse, targeting potting media (tray drench) between 24 hours and 7 days prior to transplanting, in one of the following methods: Uniform, broadcast high-volume foliar spray, followed by overhead irrigation wash; injection into overhead irrigation system; An additional field application must be made within 2 weeks following transplanting to provide continuous protection.",1,"NY restriction flupyradifurone: Not for sale, distribution or use in Nassau and Suffolk Counties (except under FIFRA 24(c)/SLN)","Max Release Height (ft): 10

ASABE Droplet Size: Coarse",N/A,,"Only for use on seedlings intended as transplants. Not for use in greenhouses; Apply specified dosage to seedlings in trays in the planthouse, targeting potting media (tray drench) between 24 hours and 7 days prior to transplanting."
264-REUN,SL,SIVANTO 300 SL,Cucurbit Vegetables (CG 9),Agricultural (Outdoor),Foliar,Broadcast,"ground sprayers, fixed or rotary winged aircraft, or through properly designed, sprinkler-type overhead chemigation equipment",Post-emergence,When pests occur,0.183,NS,0.365,NS,0.365,7,1,Minimum Application Volume: 10 Gallons/Acre - Ground; 3 Gallons/Acre - Aerial,1,"NY restriction flupyradifurone: No aerial application in New York State. Not for sale, distribution or use in Nassau and Suffolk Counties (except under FIFRA 24(c)/SLN)","Max Release Height (ft): 10

ASABE Droplet Size: Coarse",N/A,"Pollinators: recommended that foliar insecticides are applied late in the afternoon, evening, or at night outside of daily peak foraging periods.Do not apply to crop foliage during foraging by alfalfa leafcutting bees used for pollination services.","Do not apply as a foliar application to muskmelon (hybrids and/or cultivars of Cucumis melo including true cantaloupe, cantaloupe, casaba, Crenshaw melon, golden pershaw melon, honeydew melon, honey balls, mango melon, Persian melon, pineapple melon, Santa Claus melon, and snake melon). DO NOT tank mix with azole fungicides (FRAC group 3) during bloom period; No aerial application in New York State."
264-REUN,SL,SIVANTO 300 SL,Cucurbit Vegetables (CG 9),Agricultural (Outdoor),Chemigation/ Injection/ Drench,"chemigation low-pressure drip, trickle, micro-sprinkler or equiv. equipment; Injection prior to planting; Potting Drench; Post-transplant drench",Pre-emergence/ Post-emergence,Post-emergence,When pests occur,0.365,1,0.365,3,1.095,NS,21,"May be applied at the specified dosage by the following methods: Chemigation into root zone through low-pressure drip, trickle, micro-sprinkler or equiv. equipment; Injection below the eventual seed line prior to planting.Place product  3-4 inches below seed line; Potting hole drench at transplanting; Post-transplant drench following setting and covering",3,"NY restriction flupyradifurone: Not for sale, distribution or use in Nassau and Suffolk Counties (except under FIFRA 24(c)/SLN)",,For injection: Place product 3-4 inches below seed line,,
264-REUN,SL,SIVANTO 300 SL,Fruiting Vegetables (CG 8-10) Planthouse,Planthouse/ Nursery (Inside),Foliar,Broadcast/ Drench,tray drench; uniform high-volume foliar spray followed by overhead irrigation wash; injection into overhead irrigation,Post-emergence,When pests occur,"0.23 fl oz/ 10,000 plants (0.011 lb ai)",1,"0.23 fl oz/ 10,000 plants in planthouse (0.011 lb ai); 0.365 lb ai/A for total planthouse + foliar",NS,1.095,NS,45,"Apply specified dosage to seedlings in trays in the planthouse, targeting potting media (tray drench) between 24 hours and 7 days prior to transplanting, in one of the following methods: Uniform, broadcast high-volume foliar spray, followed by overhead irrigation wash; injection into overhead irrigation system; An additional field application must be made within 2 weeks following transplanting to provide continuous protection.",3,"NY restriction flupyradifurone: No aerial application in New York State. Not for sale, distribution or use in Nassau and Suffolk Counties (except under FIFRA 24(c)/SLN)","Max Release Height (ft): 10

ASABE Droplet Size: Coarse",N/A,,"Only for use on seedlings intended as transplants. Not for use in Greenhouses; Apply specified dosage to seedlings in trays in the planthouse, targeting potting media (tray drench) between 24 hours and 7 days prior to transplanting"
264-REUN,SL,SIVANTO 300 SL,Fruiting Vegetables (CG 8-10),Agricultural (Outdoor),Soil,Chemigation/ Injection/ Drench,"chemigation low-pressure drip, trickle, micro-sprinkler or equiv. equipment; Injection prior to planting; Potting Drench; Post-transplant drench",Pre-emergence/ Post-emergence,When pests occur,0.365,1,0.365,3,1.095,NA,45,"May be applied at the specified dosage by the following methods: Chemigation into root zone through low-pressure drip, trickle, micro-sprinkler or equv. equipment; Injection below the eventual seed line prior to planting. Place product 3-4 inches below seed line; Potting hole drench at transplanting; Post-transplant drench following setting and covering",3,"NY restriction flupyradifurone: Not for sale, distribution or use in Nassau and Suffolk Counties (except under FIFRA 24(c)/SLN)",,For injection: Place product 3-4 inches below seed line,,
264-REUN,SL,SIVANTO 300 SL,Fruiting Vegetables (CG 8-10),Agricultural (Outdoor),Foliar,Broadcast,"ground sprayers, fixed or rotary winged aircraft, or through properly designed, sprinkler-type overhead chemigation equipment",Post-emergence,When pests occur,0.183,NS,0.365,NS,0.365,7,1,Minimum Application Volume: 10 Gallons/Acre - Ground; 3 Gallons/Acre - Aerial,1,"NY restriction flupyradifurone: No aerial application in New York State. Not for sale, distribution or use in Nassau and Suffolk Counties (except under FIFRA 24(c)/SLN)","Max Release Height (ft): 10

ASABE Droplet Size: Coarse",N/A,"Pollinators: recommended that foliar insecticides are applied late in the afternoon, evening, or at night outside of daily peak foraging periods.Do not apply to crop foliage during foraging by alfalfa leafcutting bees used for pollination services.",DO NOT tank mix with azole fungicides (FRAC group 3) during bloom period; No aerial application in New York State.
264-REUN,SL,SIVANTO 300 SL,"Grass Forage, Fodder and Hay (CG 17)",Agricultural (Outdoor),Foliar,Broadcast,"ground sprayers, fixed or rotary winged aircraft, or through properly designed, sprinkler-type overhead chemigation equipment",Post-emergence,When pests occur,0.183,NS,0.365,NS,0.365,7,7,Minimum Application Volume: 10 Gallons/Acre - Ground; 3 Gallons/Acre - Aerial,1,"Only For Use in: Idaho and Oregon. NY restriction flupyradifurone: Not for sale, distribution or use in Nassau and Suffolk Counties (except under FIFRA 24(c)/SLN)","Max Release Height (ft): 10

ASABE Droplet Size: Coarse",N/A,"Pollinators: recommended that foliar insecticides are applied late in the afternoon, evening, or at night outside of daily peak foraging periods.Do not apply to crop foliage during foraging by alfalfa leafcutting bees used for pollination services.",DO NOT tank mix with azole fungicides (FRAC group 3) during bloom period. Only For Use in: Idaho and Oregon.
264-REUN,SL,SIVANTO 300 SL,Hop,Agricultural (Outdoor),Foliar,Broadcast,"ground sprayers, fixed or rotary winged aircraft, or through properly designed, sprinkler-type overhead chemigation equipment",Post-emergence,When pests occur,0.14,1,0.14,1,0.14,NS,21,Minimum Application Volume: 25 Gallons/Acre - Ground; 10 Gallons/Acre - Aerial,1,"NY restriction flupyradifurone: No aerial application in New York State. Not for sale, distribution or use in Nassau and Suffolk Counties (except under FIFRA 24(c)/SLN)","Max Release Height (ft): 10

ASABE Droplet Size: Coarse",N/A,"Pollinators: recommended that foliar insecticides are applied late in the afternoon, evening, or at night outside of daily peak foraging periods.Do not apply to crop foliage during foraging by alfalfa leafcutting bees used for pollination services.",DO NOT tank mix with azole fungicides (FRAC group 3) during bloom period; No aerial application in New York State.
264-REUN,SL,SIVANTO 300 SL,Kava,Agricultural (Outdoor),Foliar,Broadcast,"ground sprayers, fixed or rotary winged aircraft, or through properly designed, sprinkler-type overhead chemigation equipment",Post-emergence,When pests occur,0.183,NS,0.365,NS,1.095,10,7,Minimum Application Volume: 10 Gallons/Acre - Ground; 3 Gallons/Acre - Aerial,3,"NY restriction flupyradifurone: No aerial application in New York State. Not for sale, distribution or use in Nassau and Suffolk Counties (except under FIFRA 24(c)/SLN)","Max Release Height (ft): 10

ASABE Droplet Size: Coarse",N/A,"Pollinators: recommended that foliar insecticides are applied late in the afternoon, evening, or at night outside of daily peak foraging periods.Do not apply to crop foliage during foraging by alfalfa leafcutting bees used for pollination services.",DO NOT tank mix with azole fungicides (FRAC group 3) during bloom period; No aerial application in New York State.
264-REUN,SL,SIVANTO 300 SL,Leaf Petiole Vegetable (CG  22B),Agricultural (Outdoor),Foliar,Broadcast,"ground sprayers, fixed or rotary winged aircraft, or through properly designed, sprinkler-type overhead chemigation equipment",Post-emergence,When pests occur,0.183,NS,0.365,NS,1.095,7,1,Minimum Application Volume: 10 Gallons/Acre - Ground; 3 Gallons/Acre - Aerial,3,"NY restriction flupyradifurone: No aerial application in New York State. Not for sale, distribution or use in Nassau and Suffolk Counties (except under FIFRA 24(c)/SLN)","Max Release Height (ft): 10

ASABE Droplet Size: Coarse",N/A,"Pollinators: recommended that foliar insecticides are applied late in the afternoon, evening, or at night outside of daily peak foraging periods.Do not apply to crop foliage during foraging by alfalfa leafcutting bees used for pollination services.",DO NOT tank mix with azole fungicides (FRAC group 3) during bloom period; No aerial application in New York State.
264-REUN,SL,SIVANTO 300 SL,Leafy Vegetables (CG 4-16),Agricultural (Outdoor),Foliar,Broadcast,"ground sprayers, fixed or rotary winged aircraft, or through properly designed, sprinkler-type overhead chemigation equipment",Post-emergence,When pests occur,0.183,NS,0.365,NS,1.095,7,1,Minimum Application Volume: 10 Gallons/Acre - Ground; 3 Gallons/Acre - Aerial,3,"NY restriction flupyradifurone: No aerial application in New York State. Not for sale, distribution or use in Nassau and Suffolk Counties (except under FIFRA 24(c)/SLN)","Max Release Height (ft): 10

ASABE Droplet Size: Coarse",N/A,"Pollinators: recommended that foliar insecticides are applied late in the afternoon, evening, or at night outside of daily peak foraging periods.Do not apply to crop foliage during foraging by alfalfa leafcutting bees used for pollination services.","For applications made to watercress, production fields must be drained of water at least 24 hours prior to application and water must not be reapplied to the field for a minimum of 24 hours following the application. DO NOT tank mix with azole fungicides (FRAC group 3) during bloom period; No aerial application in New York State."
264-REUN,SL,SIVANTO 300 SL,Leafy Vegetables (CG 4-16),Agricultural (Outdoor),Soil,Chemigation/ Injection/ Drench,"Chemigation low-pressure drip, trickle, micro-sprinkler or equiv. equipment; Injection prior to planting; Potting Drench or Post-transplant drench",Pre-emergence/ Post-emergence,When pests occur,0.365,1,0.365,3,1.095,NS,21,"May be applied at the specified dosage by the following methods: Chemigation into root zone through low-pressure drip, trickle, micro-sprinkler or equiv. equipment; Injection below the eventual seed line prior to planting. Place product 3-4 inches below seed line; Potting hole drench at transplanting; Post-transplant drench following setting and covering",3,"NY restriction flupyradifurone: Not for sale, distribution or use in Nassau and Suffolk Counties (except under FIFRA 24(c)/SLN)",,For injection: Place product 3-4 inches below seed line,,"For applications made to watercress, production fields must be drained of water at least 24 hours prior to application and water must not be reapplied to the field for a minimum of 24 hours following the application."
264-REUN,SL,SIVANTO 300 SL,Legume Vegetables (Succlent or Dried) (CG 6) and Foliage of Legume Vegetables for Animal Feed (CG 7),Agricultural (Outdoor),Foliar,Broadcast,"ground sprayers, fixed or rotary winged aircraft, or through properly designed, sprinkler-type overhead chemigation equipment",Post-emergence,When pests occur,0.183,NS,0.365,NS,0.365,10,"7-days Forage, Leaves, Vines, Pods, Cutting for Hay, or Seed (fresh or dry, except dry soybean seed); 21-days dry soybean seed",Minimum Application Volume: 10 Gallons/Acre - Ground; 3 Gallons/Acre - Aerial,1,"NY restriction flupyradifurone: No aerial application in New York State. Not for sale, distribution or use in Nassau and Suffolk Counties (except under FIFRA 24(c)/SLN)","Max Release Height (ft): 10

ASABE Droplet Size: Coarse",N/A,"Pollinators: recommended that foliar insecticides are applied late in the afternoon, evening, or at night outside of daily peak foraging periods.Do not apply to crop foliage during foraging by alfalfa leafcutting bees used for pollination services.",DO NOT tank mix with azole fungicides (FRAC group 3) during bloom period; No aerial application in New York State.
264-REUN,SL,SIVANTO 300 SL,Low Growing Berry (Subgroup 13-07G),Agricultural (Outdoor),Foliar,Broadcast,"ground sprayers, fixed or rotary winged aircraft, or through properly designed, sprinkler-type overhead chemigation equipment",Post-emergence,When pests occur,0.183,NS,0.365,NS,0.365,10,0,Minimum Application Volume: 10 Gallons/Acre - Ground; 3 Gallons/Acre - Aerial,1,"NY restriction flupyradifurone: No aerial application in New York State. Not for sale, distribution or use in Nassau and Suffolk Counties (except under FIFRA 24(c)/SLN)","Max Release Height (ft): 10

ASABE Droplet Size: Coarse",N/A,"Pollinators: recommended that foliar insecticides are applied late in the afternoon, evening, or at night outside of daily peak foraging periods.Do not apply to crop foliage during foraging by alfalfa leafcutting bees used for pollination services.",DO NOT tank mix with azole fungicides (FRAC group 3) during bloom period; No aerial application in New York State.
264-REUN,SL,SIVANTO 300 SL,Low Growing Berry (Subgroup 13-07G),Agricultural (Outdoor),Soil,Chemigation/ Drench,"Chemigation low-pressure drip, trickle, micro-sprinkler or equiv. equipment; Potting hole drench",Post-emergence,When pests occur,0.365,1,0.365,NS,1.095,NS,1,"May be applied at the specified dosage by the following methods: Chemigation into root zone through low-pressure drip, trickle, micro-sprinkler or equiv. equipment; Potting hole drench at transplanting",1,"NY restriction flupyradifurone: Not for sale, distribution or use in Nassau and Suffolk Counties (except under FIFRA 24(c)/SLN)",,,,
264-REUN,SL,SIVANTO 300 SL,Peanut,Agricultural (Outdoor),Foliar,Broadcast,"ground sprayers, fixed or rotary winged aircraft, or through properly designed, sprinkler-type overhead chemigation equipment",Post-emergence,When pests occur,0.183,NS,0.365,NS,0.365,10,7,Minimum Application Volume: 10 Gallons/Acre - Ground; 3 Gallons/Acre - Aerial,1,"NY restriction flupyradifurone: No aerial application in New York State. Not for sale, distribution or use in Nassau and Suffolk Counties (except under FIFRA 24(c)/SLN)","Max Release Height (ft): 10

ASABE Droplet Size: Coarse",N/A,"Pollinators: recommended that foliar insecticides are applied late in the afternoon, evening, or at night outside of daily peak foraging periods.Do not apply to crop foliage during foraging by alfalfa leafcutting bees used for pollination services.",DO NOT tank mix with azole fungicides (FRAC group 3) during bloom period; No aerial application in New York State.
264-REUN,SL,SIVANTO 300 SL,Pineapple,Agricultural (Outdoor),Foliar,Broadcast,"ground sprayers, fixed or rotary winged aircraft, or through properly designed, sprinkler-type overhead chemigation equipment",Post-emergence,When pests occur,0.183,NS,0.365,NS,0.365,7,0,Minimum Application Volume: 10 Gallons/Acre - Ground; 3 Gallons/Acre - Aerial,1,"NY restriction flupyradifurone: No aerial application in New York State. Not for sale, distribution or use in Nassau and Suffolk Counties (except under FIFRA 24(c)/SLN)","Max Release Height (ft): 10

ASABE Droplet Size: Coarse",N/A,"Pollinators: recommended that foliar insecticides are applied late in the afternoon, evening, or at night outside of daily peak foraging periods.Do not apply to crop foliage during foraging by alfalfa leafcutting bees used for pollination services.",DO NOT tank mix with azole fungicides (FRAC group 3) during bloom period; No aerial application in New York State.
264-REUN,SL,SIVANTO 300 SL,Pome Fruit (CG 11-10),Agricultural (Outdoor),Foliar,Broadcast,"ground sprayers, fixed or rotary winged aircraft, or through properly designed, sprinkler-type overhead chemigation equipment",Post-emergence,When pests occur,0.183,NS,0.365,NS,0.365,10,14,Minimum Application Volume: 25 Gallons/Acre - Ground; 10 Gallons/Acre - Aerial,1,"NY restriction flupyradifurone: No aerial application in New York State. Not for sale, distribution or use in Nassau and Suffolk Counties (except under FIFRA 24(c)/SLN)","Max Release Height (ft): 10

ASABE Droplet Size: Coarse",N/A,"Pollinators: recommended that foliar insecticides are applied late in the afternoon, evening, or at night outside of daily peak foraging periods.Do not apply to crop foliage during foraging by alfalfa leafcutting bees used for pollination services.",Do not apply with horticultural oils to pear in late-season or during periods of above average temperatures. DO NOT tank mix with azole fungicides (FRAC group 3) during bloom period; No aerial application in New York State.
264-REUN,SL,SIVANTO 300 SL,Pome Fruit (CG 11-10),Agricultural (Outdoor),Soil,Chemigation/ Shank injection/ Drench,"Chemigation low-pressure drip, trickle, micro-sprinkler, Shank or subsurface side-dress injection; At-transplant/ Post-transplant drench",Post-emergence,When pests occur,0.365,1,0.365,1,0.365,NS,30,"Chemigation into root zone through low-pressure drip, trickle, micro-sprinkler or equiv. equipment; At-transplant drench followimg setting and covering; Post-transplant drench; Shank or subsurface side-dress, injected to a depth just above or just within the root zone and between the trunk and drip line of the tree canopy. Apply product in a min. of 10 gals/A using multiple shanks on both sides of trees. Ensure product placement is below sod or orchard floor debris. Irrigation covering entire treated area should follow within 48 hours to promote uptake by root system",1,"NY restriction flupyradifurone: Not for sale, distribution or use in Nassau and Suffolk Counties (except under FIFRA 24(c)/SLN)",,,,Do not apply with horticultural oils to pear in late-season or during periods of above average temperatures
264-REUN,SL,SIVANTO 300 SL,Rapeseed (Subgroup 20A),Agricultural (Outdoor),Foliar,Broadcast,"ground sprayers, fixed or rotary winged aircraft, or through properly designed, sprinkler-type overhead chemigation equipment",Post-emergence,When pests occur,0.183,2,0.276,2,0.276,NA,NA,Minimum Application Volume: 10 Gallons/Acre - Ground; 3 Gallons/Acre - Aerial,1,"NY restriction flupyradifurone: No aerial application in New York State. Not for sale, distribution or use in Nassau and Suffolk Counties (except under FIFRA 24(c)/SLN)","Max Release Height (ft): 10

ASABE Droplet Size: Coarse",N/A,"Pollinators: recommended that foliar insecticides are applied late in the afternoon, evening, or at night outside of daily peak foraging periods.Do not apply to crop foliage during foraging by alfalfa leafcutting bees used for pollination services.",Do not apply after bolting (BBCH30: the plant stage when stem elongation starts). DO NOT tank mix with azole fungicides (FRAC group 3) during bloom period; No aerial application in New York State.
264-REUN,SL,SIVANTO 300 SL,"Root Vegetables, except Sugarbeet (Subgroup 1B)",Agricultural (Outdoor),Foliar,Broadcast,"ground sprayers, fixed or rotary winged aircraft, or through properly designed, sprinkler-type overhead chemigation equipment",Post-emergence,When pests occur,0.183,NS,0.365,NS,0.365,10,7,Minimum Application Volume: 10 Gallons/Acre - Ground; 3 Gallons/Acre - Aerial,1,"NY restriction flupyradifurone: No aerial application in New York State. Not for sale, distribution or use in Nassau and Suffolk Counties (except under FIFRA 24(c)/SLN)","Max Release Height (ft): 10

ASABE Droplet Size: Coarse",N/A,"Pollinators: recommended that foliar insecticides are applied late in the afternoon, evening, or at night outside of daily peak foraging periods.Do not apply to crop foliage during foraging by alfalfa leafcutting bees used for pollination services.","Do not harvest the tops (leaves) from any crop listed under Crop Subgroup 1B, except turnip greens and kava leaves, for human or livestock consumption. DO NOT tank mix with azole fungicides (FRAC group 3) during bloom period; No aerial application in New York State."
264-REUN,SL,SIVANTO 300 SL,Sesame,Agricultural (Outdoor),Foliar,Broadcast,"ground sprayers, fixed or rotary winged aircraft, or through properly designed, sprinkler-type overhead chemigation equipment",Post-emergence,When pests occur,0.183,NS,0.365,NS,0.365,10,14,Minimum Application Volume: 10 Gallons/Acre - Ground; 3 Gallons/Acre - Aerial,1,"NY restriction flupyradifurone: No aerial application in New York State. Not for sale, distribution or use in Nassau and Suffolk Counties (except under FIFRA 24(c)/SLN)","Max Release Height (ft): 10

ASABE Droplet Size: Coarse",N/A,"Pollinators: recommended that foliar insecticides are applied late in the afternoon, evening, or at night outside of daily peak foraging periods.Do not apply to crop foliage during foraging by alfalfa leafcutting bees used for pollination services.",DO NOT tank mix with azole fungicides (FRAC group 3) during bloom period; No aerial application in New York State.
264-REUN,SL,SIVANTO 300 SL,Small Fruit Vine Climbing - Except Fuzzy Kiwifruit (CG 13-07F),Agricultural (Outdoor),Foliar,Broadcast,"ground sprayers, fixed or rotary winged aircraft, or through properly designed, sprinkler-type overhead chemigation equipment",Post-emergence,When pests occur,0.183,NS,0.365,NS,0.365,10,0,Minimum Application Volume: 25 Gallons/Acre - Ground; 10 Gallons/Acre - Aerial,1,"NY restriction flupyradifurone: No aerial application in New York State. Not for sale, distribution or use in Nassau and Suffolk Counties (except under FIFRA 24(c)/SLN)","Max Release Height (ft): 10

ASABE Droplet Size: Coarse",N/A,"Pollinators: recommended that foliar insecticides are applied late in the afternoon, evening, or at night outside of daily peak foraging periods.Do not apply to crop foliage during foraging by alfalfa leafcutting bees used for pollination services.",DO NOT tank mix with azole fungicides (FRAC group 3) during bloom period; No aerial application in New York State.
264-REUN,SL,SIVANTO 300 SL,Small Fruit Vine Climbing - Except Fuzzy Kiwifruit (CG 13-07F),Agricultural (Outdoor),Soil,Chemigation/ Drench,"chemigation low-pressure drip, trickle, micro-sprinkler or equiv. equipment; Basal hole drench",Post-emergence,When pests occur,0.365,1,0.365,1,0.365,NS,30,"May be applied at the specified dosage by the following methods: Chemigation into root zone through low-pressure drip, trickle, micro-sprinkler or equiv. equipment; Basal drench in sufficient water to move into root zone",1,"NY restriction flupyradifurone: Not for sale, distribution or use in Nassau and Suffolk Counties (except under FIFRA 24(c)/SLN)",,,,
264-REUN,SL,SIVANTO 300 SL,Sorghum (including production for seed),Agricultural (Outdoor),Soil,Chemigation/ In-furrow/ Injection/ Shank Injection,"Chemigation low-pressure drip, trickle, micro-sprinkler or equiv. equipment; Injection or in-furrow spray for planting; Shank Subsurface or Surface side-dress",Pre-emergence/ Post-emergence,When pests occur,0.365,2,0.365,2,0.365,NS,45,"May be applied at the specified dosage by the following methods: Injection below the eventual seed row prior to planting. Place product 3 - 4 inches below seed-line; In-furrow spray during planting; Chemigation into root-zone through low-pressure drip, trickle, micro-sprinkler or equiv. equipment; Subsurface side-dress shanked into the root zone on both sides of the plants; Surface side-dress followed by irrigation, a rain event or mechanically incorporated",1,"NY restriction flupyradifurone: Not for sale, distribution or use in Nassau and Suffolk Counties (except under FIFRA 24(c)/SLN)",,For injection: Place product 3-4 inches below seed line,,
264-REUN,SL,SIVANTO 300 SL,"Stalk and Stem Vegetables (Subgroup 22A, excluding Prickly pear, pads; Prickly pear, Texas, pads)",Agricultural (Outdoor),Foliar,Broadcast,"ground sprayers, fixed or rotary winged aircraft, or through properly designed, sprinkler-type overhead chemigation equipment",Post-emergence,When pests occur,0.183,NS,0.365,NS,0.365,30,NS,Minimum Application Volume: 10 Gallons/Acre - Ground; 3 Gallons/Acre - Aerial,1,"NY restriction flupyradifurone: No aerial application in New York State. Not for sale, distribution or use in Nassau and Suffolk Counties (except under FIFRA 24(c)/SLN)","Max Release Height (ft): 10

ASABE Droplet Size: Coarse",N/A,"Pollinators: recommended that foliar insecticides are applied late in the afternoon, evening, or at night outside of daily peak foraging periods.Do not apply to crop foliage during foraging by alfalfa leafcutting bees used for pollination services.",Only for Post-Harvest and Fern Stage use. DO NOT tank mix with azole fungicides (FRAC group 3) during bloom period; No aerial application in New York State.
264-REUN,SL,SIVANTO 300 SL,Stone Fruit (CG 12-12),Agricultural (Outdoor),Foliar,Broadcast,"ground sprayers, fixed or rotary winged aircraft, or through properly designed, sprinkler-type overhead chemigation equipment",Post-emergence,When pests occur,0.183,NS,0.365,NS,0.365,10,14,Minimum Application Volume: 25 Gallons/Acre - Ground; 10 Gallons/Acre - Aerial,1,"NY restriction flupyradifurone: No aerial application in New York State. Not for sale, distribution or use in Nassau and Suffolk Counties (except under FIFRA 24(c)/SLN)","Max Release Height (ft): 10

ASABE Droplet Size: Coarse",N/A,"Pollinators: recommended that foliar insecticides are applied late in the afternoon, evening, or at night outside of daily peak foraging periods.Do not apply to crop foliage during foraging by alfalfa leafcutting bees used for pollination services.",DO NOT tank mix with azole fungicides (FRAC group 3) during bloom period; No aerial application in New York State.
264-REUN,SL,SIVANTO 300 SL,Stone Fruit (CG 12-12),Agricultural (Outdoor),Soil,Chemigation/ Shank injection/ Drench,Chemigation/ Shank injection/ Drench,"Chemigation low-pressure drip, trickle, micro-sprinkler, Shank or subsurface side-dress injection; At-transplant/ Post-transplant drench",When pests occur,0.365,1,0.365,1,0.365,NS,30,"May be applied at the specified dosage by the following methods: Chemigation into root-zone through low-pressure drip, trickle, micro-sprinkler or equiv. equipment; Post-transplant drench following setting and covering; Shank or subsurface side-dress, injected to a depth just above or just within the root zone and between the trunk and drip line of the tree canopy. Apply product in a minimum of 10 gal/A using multiple shanks on both sides of trees. Ensure product placement is below sod or orchard floor debris. Irrigation covering entire treated area should follow within 48 hours to promote uptake by root system.",1,"NY restriction flupyradifurone: Not for sale, distribution or use in Nassau and Suffolk Counties (except under FIFRA 24(c)/SLN)","Max Release Height (ft): 10

ASABE Droplet Size: Coarse",N/A,"Pollinators: recommended that foliar insecticides are applied late in the afternoon, evening, or at night outside of daily peak foraging periods.Do not apply to crop foliage during foraging by alfalfa leafcutting bees used for pollination services.",
264-REUN,SL,SIVANTO 300 SL,Sunflower (Subgroup 20B),Agricultural (Outdoor),Foliar,Broadcast,"ground sprayers, fixed or rotary winged aircraft, or through properly designed, sprinkler-type overhead chemigation equipment",Post-emergence,When pests occur,0.183,NS,0.365,NS,0.365,10,14,Minimum Application Volume: 10 Gallons/Acre - Ground; 3 Gallons/Acre - Aerial,1,"NY restriction flupyradifurone: No aerial application in New York State. Not for sale, distribution or use in Nassau and Suffolk Counties (except under FIFRA 24(c)/SLN)","Max Release Height (ft): 10

ASABE Droplet Size: Coarse",N/A,"Pollinators: recommended that foliar insecticides are applied late in the afternoon, evening, or at night outside of daily peak foraging periods.Do not apply to crop foliage during foraging by alfalfa leafcutting bees used for pollination services.",DO NOT tank mix with azole fungicides (FRAC group 3) during bloom period; No aerial application in New York State.
